"287","285","717","493","181","140","101","121"
"305","317","635","405","144","99","85","141"
"241","260","485","336","118","113","79","130"
"235","257","416","350","122","141","76","122"
"217","280","365","314","124","140","73","115"
"207","274","306","317","121","146","75","130"
"164","201","332","322","124","174","74","95"
"157","204","377","339","117","164","72","97"
"163","201","349","348","110","148","70","101"
"169","152","342","363","106","149","70","105"
"171","181","332","331","92","149","64","85"
"242","194","312","343","90","112","66","122"
"247","193","257","336","103","158","64","119"
"252","194","262","324","116","162","66","117"
"256","211","248","383","113","159","69","113"
"239","164","298","400","114","156","70","110"
"175","153","286","381","117","171","70","87"
"176","146","287","417","113","139","75","90"
"197","144","305","389","105","138","70","97"
"223","122","332","338","113","139","65","137"
"211","123","285","318","118","141","64","137"
"239","127","298","337","129","173","60","135"
"234","130","339","268","168","168","55","138"
"222","124","334","266","172","160","56","135"
"186","135","341","390","174","166","58","93"
"179","130","348","424","192","193","67","88"
"173","118","349","433","191","168","76","102"
"236","136","321","438","158","158","75","109"
"226","148","316","456","155","162","77","106"
"227","145","279","377","150","166","74","105"
"229","143","258","322","137","128","65","113"
"245","144","257","313","122","104","51","99"
"197","129","236","319","124","111","54","84"
"195","118","234","296","136","124","52","80"
"197","106","233","276","156","144","56","87"
"202","105","268","275","142","147","58","78"
"145","109","260","255","142","146","58","65"
"132","110","275","257","137","138","53","74"
"151","110","279","250","115","119","53","77"
"159","110","283","209","110","126","50","82"
"166","120","275","332","183","162","45","79"
"200","179","265","339","187","169","50","89"
"203","175","277","338","195","182","58","86"
"199","178","272","412","201","186","57","88"
"191","185","262","426","193","164","55","81"
"198","178","230","340","133","131","55","86"
"165","125","235","360","143","180","60","76"
"212","134","198","354","145","191","64","99"
"234","124","177","267","138","185","63","120"
"244","130","168","269","131","180","67","125"
"230","129","165","288","145","210","70","122"
"233","115","145","298","136","168","72","127"
"208","106","169","298","115","140","65","127"
"169","102","200","315","118","146","66","104"
"150","71","215","323","146","169","74","96"
"180","72","216","344","153","141","75","96"
"179","77","216","329","149","136","73","90"
"151","101","202","328","150","158","75","58"
"170","106","199","385","195","180","80","58"
"189","111","213","373","176","160","74","71"
"157","108","211","344","152","147","72","74"
"150","101","221","341","161","167","66","71"
"164","93","241","345","171","163","68","75"
"147","118","227","264","128","138","62","78"
"119","122","205","254","132","186","59","69"
"158","127","209","304","131","188","57","81"
"168","131","242","287","121","174","61","87"
"163","114","218","276","117","164","54","88"
"162","81","207","295","127","185","87","86"
"174","76","219","379","154","148","94","96"
"155","66","217","331","155","146","93","90"
"162","73","168","331","156","168","92","83"
"161","72","165","334","158","171","95","90"
"168","83","198","373","146","155","68","90"
"188","78","204","303","138","196","63","85"
"183","86","224","321","145","207","66","80"
"177","82","226","315","187","234","79","82"
"233","86","232","337","226","314","100","80"
"227","82","204","298","272","498","135","80"
"199","79","195","281","324","592","155","77"
"195","71","173","282","382","682","185","72"
"226","71","192","297","391","703","185","74"
"171","68","194","276","369","695","179","63"
"184","70","217","330","342","603","154","67"
"193","71","216","355","284","631","150","62"
"197","76","211","360","245","594","158","70"
"172","81","231","355","231","580","209","93"
"163","80","231","358","310","697","237","94"
"170","77","269","337","335","820","254","93"
"170","79","273","313","356","760","247","106"
"178","77","276","278","335","761","227","109"
"160","68","252","349","338","755","176","97"
"163","68","250","348","270","673","135","99"
"140","73","203","299","256","497","118","96"
"130","65","188","333","241","445","133","88"
"140","64","237","409","243","367","127","92"
"158","65","228","350","223","398","133","92"
"151","73","234","345","238","387","130","89"
"150","77","236","388","217","443","134","92"
"153","81","221","363","240","554","125","89"
"134","81","167","284","243","574","129","76"
"102","91","166","287","245","592","127","64"
"121","83","173","360","285","582","146","85"
"130","77","158","325","357","673","187","95"
"139","80","180","329","367","622","198","100"
"141","78","181","318","355","606","194","99"
"158","75","191","343","379","702","203","102"
"146","88","211","311","354","721","192","86"
"161","92","209","298","285","606","151","92"
